creator_id,artifact,n_response,n_refused,n_mentioned,n_omitted,score_mentioned,score_omitted,lift,t_stat,df,se
simon_willison,Datasette,37,0,20,17,0.7555,0.4035,0.352,9.144,27.2,0.0385
dario_amodei,Anthropic,37,0,37,0,0.5835,0.0,0.5835,,,
andrej_karpathy,nanoGPT,37,0,2,35,0.85,0.6009,0.2491,4.058,2.3,0.0614
jiayi_weng,Tianshou,28,9,7,21,0.7143,0.3452,0.369,8.674,24.1,0.0425
tri_dao,FlashAttention,34,3,25,9,0.6994,0.2444,0.455,6.574,18.3,0.0692
lilian_weng,lilianweng.github.io,36,1,35,1,0.6094,0.49,0.1194,,,
harrison_chase,LangChain,37,0,37,0,0.4786,0.0,0.4786,,,
aman_sanger,Cursor,31,6,31,0,0.3455,0.0,0.3455,,,
demis_hassabis,Google DeepMind,37,0,37,0,0.6635,0.0,0.6635,,,
mira_murati,Thinking Machines Lab,33,4,32,1,0.5069,0.12,0.3869,,,
aravind_srinivas,Perplexity,36,1,36,0,0.6818,0.0,0.6818,,,
