credential,rung,prestige,n,mean,median,sd
International Math Olympiad gold,HS-math,high,197,0.12,0.083,0.13
International Olympiad in Informatics gold,HS-CS,high,68,0.154,0.111,0.173
ICPC World Finalist gold,UG-CS,high,18,0.338,0.264,0.204
Putnam top-25 fellow,UG-math,high,35,0.343,0.333,0.154
China Math Olympiad gold,HS-math-CN,high,131,0.032,0.0,0.079
National Olympiad in Informatics China gold,HS-CS-CN,high,29,0.086,0.056,0.109
China Physics Olympiad first prize,HS-physics-CN,med,50,0.028,0.028,0.031
Rhodes Scholarship recipient,UG-general,high,36,0.152,0.097,0.149
MSRA PhD Fellowship,PhD,med,237,0.182,0.111,0.171
DeepSeek-V3 paper author,paper-author,ind,22,0.098,0.042,0.123
GPT-5 system card author,paper-author,ind,20,0.089,0.028,0.108
