cohort,n,median_delta_C_minus_W,frac_east_higher,frac_abs_delta_geq_015
ai_hardware,20,0.096,0.7,0.2
mid_tier_architect,36,0.067,0.806,0.028
research_paper,298,0.0622,0.856,0.104
ai_startup_or_company,102,0.0619,0.775,0.186
mid_tier_gov_ai_policy,42,0.0617,0.857,0.119
mid_tier_musician,64,0.0436,0.719,0.062
mid_tier_chef,47,0.0436,0.723,0.064
dataset,45,0.0435,0.8,0.044
mid_tier_filmmaker,38,0.0417,0.816,0.105
oss_project,184,0.0402,0.701,0.06
mid_tier_actor,123,0.0382,0.772,0.033
reference_pilot,37,0.038,0.595,0.108
mid_tier_writer,194,0.0374,0.711,0.062
foundation_model,107,0.0354,0.636,0.065
mid_tier_athlete,134,0.0354,0.657,0.104
mid_tier_historical,105,0.0331,0.676,0.038
benchmark,47,0.033,0.766,0.085
mid_tier_artist,45,0.0311,0.556,0.111
programming_language,29,0.0309,0.724,0.103
mid_tier_religious,30,0.0306,0.667,0.067
mid_tier_oss_maintainer,51,0.0304,0.647,0.118
database_or_data_system,30,0.0301,0.733,0.0
named_method,73,0.0266,0.671,0.055
mid_tier_founder,48,0.0224,0.667,0.062
conference,30,0.0188,0.733,0.0
award,15,0.0179,0.733,0.0
mid_tier_politician,103,0.0174,0.67,0.0
mid_tier_product,88,0.0166,0.67,0.011
mid_tier_medical,44,0.0152,0.636,0.0
mid_tier_book,130,0.0146,0.631,0.015
putnam_fellow,35,0.0132,0.629,0.143
mid_tier_comedian,46,0.0128,0.543,0.043
mid_tier_online_course,40,0.0124,0.625,0.0
mid_tier_journalist,84,0.0116,0.583,0.083
mid_tier_podcast,57,0.0093,0.596,0.0
deepseek_v3_author,69,0.0085,0.536,0.014
website_or_service,9,0.0058,0.556,0.111
mid_tier_vc,31,0.0039,0.516,0.032
mid_tier_activist,2,0.0025,0.5,0.0
cs_faculty,698,-0.0006,0.497,0.119
industry_product,9,-0.0088,0.444,0.0
long_tail_researcher_openalex,771,-0.0134,0.453,0.185
ioi_gold,68,-0.0155,0.426,0.029
icpc_world_finals_gold,18,-0.0166,0.444,0.111
gpt5_system_card_author,80,-0.0224,0.225,0.025
cmo_china_gold,131,-0.0369,0.321,0.137
long_tail_researcher_ikp,159,-0.0423,0.252,0.063
mid_tier_yc_company,25,-0.0465,0.24,0.0
noi_china_gold,29,-0.0543,0.31,0.31
rhodes_scholar,36,-0.059,0.306,0.111
imo_gold,197,-0.0667,0.244,0.203
msra_phd_fellowship,237,-0.0786,0.186,0.173
cpho_china_first_prize,50,-0.0872,0.1,0.08
long_tail_paper,499,-0.1035,0.192,0.365
