cohort,n,NR_A_mean,NR_B_mean,delta_mean,delta_sd,delta_median,refusal_A_mean,refusal_B_mean,refusal_delta
long_tail_researcher_openalex,50,0.4455,0.0774,-0.3682,0.126,-0.4153,0.2658,0.175,-0.0908
msra_phd_fellowship,30,0.3404,0.0279,-0.3125,0.0579,-0.3055,0.2817,0.3258,0.0441
imo_gold,30,0.3451,0.0394,-0.3057,0.0737,-0.3094,0.2925,0.36,0.0675
mid_tier_filmmaker,20,0.8116,0.5132,-0.2983,0.0615,-0.3004,0.0,0.004,0.004
ai_startup_or_company,20,0.6621,0.3909,-0.2711,0.122,-0.2851,0.0621,0.0405,-0.0216
reference_pilot,10,0.4585,0.2182,-0.2403,0.1098,-0.2561,0.0999,0.1539,0.054
mid_tier_writer,30,0.5186,0.3224,-0.1962,0.1118,-0.1834,0.0855,0.0513,-0.0342
cs_faculty,38,0.4641,0.2708,-0.1933,0.0563,-0.207,0.1621,0.1116,-0.0505
oss_project,30,0.4718,0.3227,-0.1491,0.1038,-0.1477,0.0279,0.0549,0.027
mid_tier_politician,30,0.3705,0.2579,-0.1126,0.0523,-0.1003,0.0054,0.0018,-0.0036
