judge,judge_family,response_family,is_same_family,n,mean_score
gemini,gemini,claude,0,43,0.5593
gemini,gemini,deepseek,0,54,0.645
gemini,gemini,ernie,0,17,0.4115
gemini,gemini,gemini,1,53,0.7149
gemini,gemini,gemma3,0,45,0.366
gemini,gemini,gemma4,0,15,0.58
gemini,gemini,glm,0,37,0.5731
gemini,gemini,gpt-oss,0,7,0.457
gemini,gemini,gpt5,0,31,0.6216
gemini,gemini,grok,0,21,0.6333
gemini,gemini,kimi,0,29,0.609
gemini,gemini,llama,0,63,0.2808
gemini,gemini,llama4,0,24,0.4258
gemini,gemini,minimax,0,9,0.5422
gemini,gemini,mistral,0,66,0.1983
gemini,gemini,mistral-prop,0,16,0.2894
gemini,gemini,phi,0,21,0.1938
gemini,gemini,qwen3,0,45,0.3509
gemini,gemini,qwen3.5,0,19,0.4737
claude,claude,claude,1,43,0.5942
claude,claude,deepseek,0,54,0.6718
claude,claude,ernie,0,17,0.4691
claude,claude,gemini,0,53,0.683
claude,claude,gemma3,0,45,0.4522
claude,claude,gemma4,0,15,0.6783
claude,claude,glm,0,37,0.5905
claude,claude,gpt-oss,0,7,0.4571
claude,claude,gpt5,0,31,0.679
claude,claude,grok,0,21,0.6107
claude,claude,kimi,0,29,0.6293
claude,claude,llama,0,63,0.3528
claude,claude,llama4,0,24,0.4365
claude,claude,minimax,0,9,0.5639
claude,claude,mistral,0,66,0.2932
claude,claude,mistral-prop,0,16,0.3234
claude,claude,phi,0,21,0.3262
claude,claude,qwen3,0,45,0.405
claude,claude,qwen3.5,0,19,0.4276
gpt5,gpt5,claude,0,43,0.6042
gpt5,gpt5,deepseek,0,54,0.6644
gpt5,gpt5,ernie,0,17,0.4456
gpt5,gpt5,gemini,0,53,0.7196
gpt5,gpt5,gemma3,0,45,0.4922
gpt5,gpt5,gemma4,0,15,0.7227
gpt5,gpt5,glm,0,37,0.6111
gpt5,gpt5,gpt-oss,0,7,0.4571
gpt5,gpt5,gpt5,1,31,0.7106
gpt5,gpt5,grok,0,21,0.6614
gpt5,gpt5,kimi,0,29,0.6071
gpt5,gpt5,llama,0,63,0.3383
gpt5,gpt5,llama4,0,24,0.4688
gpt5,gpt5,minimax,0,9,0.4717
gpt5,gpt5,mistral,0,66,0.2744
gpt5,gpt5,mistral-prop,0,16,0.2766
gpt5,gpt5,phi,0,21,0.1917
gpt5,gpt5,qwen3,0,45,0.3937
gpt5,gpt5,qwen3.5,0,19,0.4263
