cohort,n_total,n_male,n_female,n_ambiguous,frac_ambiguous,mean_NR_male,sd_NR_male,mean_NR_female,sd_NR_female,delta_male_minus_female,welch_t,p_value
cmo_china_gold,131,0,0,131,1.0,,,,,,,
cpho_china_first_prize,50,1,0,49,0.98,0.1849,,,,,,
cs_faculty,698,354,97,247,0.354,0.453,0.1357,0.4151,0.1349,0.038,2.452,0.0142
deepseek_v3_author,69,0,0,69,1.0,,,,,,,
gpt5_system_card_author,80,30,14,36,0.45,0.0422,0.0333,0.0426,0.0345,-0.0004,-0.034,0.9731
icpc_world_finals_gold,18,10,0,8,0.444,0.6213,0.0395,,,,,
imo_gold,197,90,5,102,0.518,0.3608,0.1021,0.4337,0.2053,-0.073,-0.789,0.4299
ioi_gold,68,40,0,28,0.412,0.3452,0.0786,,,,,
long_tail_researcher_ikp,159,56,22,81,0.509,0.1706,0.0764,0.1264,0.0709,0.0442,2.423,0.0154
long_tail_researcher_openalex,771,388,76,307,0.398,0.4867,0.1817,0.456,0.1839,0.0307,1.334,0.1823
mid_tier_activist,2,0,0,2,1.0,,,,,,,
mid_tier_actor,123,38,63,22,0.179,0.7122,0.1939,0.3711,0.2027,0.3411,8.419,0.0
mid_tier_architect,36,23,5,8,0.222,0.2604,0.0853,0.2377,0.0974,0.0227,0.483,0.6293
mid_tier_artist,45,8,20,17,0.378,0.7995,0.0888,0.7559,0.1306,0.0436,1.016,0.3098
mid_tier_athlete,134,64,32,38,0.284,0.5948,0.1443,0.3407,0.2139,0.2541,6.063,0.0
mid_tier_chef,47,26,14,7,0.149,0.6452,0.1972,0.6315,0.1427,0.0138,0.253,0.8
mid_tier_comedian,46,18,17,11,0.239,0.6089,0.1074,0.654,0.1147,-0.0451,-1.2,0.23
mid_tier_filmmaker,38,23,7,8,0.211,0.7703,0.1603,0.8197,0.0694,-0.0494,-1.163,0.245
mid_tier_founder,48,35,6,7,0.146,0.5441,0.114,0.5324,0.2637,0.0116,0.106,0.9154
mid_tier_historical,105,83,13,9,0.086,0.6322,0.1761,0.6364,0.1466,-0.0042,-0.093,0.9255
mid_tier_journalist,84,43,28,13,0.155,0.508,0.146,0.5191,0.1058,-0.011,-0.368,0.7126
mid_tier_medical,44,28,11,5,0.114,0.6367,0.166,0.5567,0.1722,0.08,1.319,0.1871
mid_tier_musician,64,21,10,33,0.516,0.7399,0.1355,0.6595,0.2024,0.0804,1.141,0.2539
mid_tier_politician,103,68,22,13,0.126,0.3627,0.0849,0.3494,0.0507,0.0134,0.895,0.371
mid_tier_religious,30,20,2,8,0.267,0.5061,0.1666,0.4882,0.0613,0.0178,0.312,0.7552
mid_tier_vc,31,8,16,7,0.226,0.3711,0.1615,0.378,0.1096,-0.0069,-0.109,0.9135
mid_tier_writer,194,62,77,55,0.284,0.5773,0.3016,0.5359,0.2917,0.0414,0.816,0.4147
msra_phd_fellowship,237,20,0,217,0.916,0.3506,0.0811,,,,,
noi_china_gold,29,0,1,28,0.966,,,0.4112,,,,
putnam_fellow,35,15,0,20,0.571,0.6094,0.099,,,,,
reference_pilot,37,18,4,15,0.405,0.5681,0.1817,0.2504,0.157,0.3178,3.554,0.0004
rhodes_scholar,36,17,12,7,0.194,0.3044,0.0641,0.3131,0.0564,-0.0088,-0.389,0.6969
